					
	ID	Data ID	Label Group	Label	Value
	0_0_0_1_0	1	text	The dramatic impact of COVID-19 on mental health—especially that of LGBTQ youth—is just starting to be understood. But what remains clear is that suicide is still a public health crisis and the second leading cause of death among young people. The need for robust research, systematic data collection, and comprehensive mental health support has never been greater.	
	0_0_0_1_0	2	highlight	The Trevor Project’s 2020 National Survey on LGBTQ Youth Mental Health is our second annual release of new insights into the unique challenges that LGBTQ youth face every day.	
	0_0_0_1_0	3	text	Building on the findings of our inaugural survey, it provides critical insights around LGBTQ youth mental health disparities, discrimination, housing instability, barriers to affirming health care, subjection to conversion therapy, and suicide. The survey also highlights how safe spaces and social support positively impact the well-being of LGBTQ youth.	
	0_0_0_1_0	4	text	Representing the experiences of over 40,000 LGBTQ youth ages 13-24 across the United States, it is the largest survey of LGBTQ youth mental health ever conducted. This wealth of data highlights the resiliency and diversity of LGBTQ young people and demonstrates how important affirming one’s identity is to their health and wellness. Findings from this cross-sectional survey also point to best practices for how to support LGBTQ young people and contribute positively to their mental health.	
	0_0_0_1_0	5	text	Among some of the key findings of the report from LGBTQ youth in the survey:	
	0_0_0_1_0	6	list	^40% of LGBTQ respondents^ seriously considered attempting suicide in the past twelve months, with ^more than half^ of transgender and nonbinary youth having seriously considered suicide	
	0_0_0_1_0	7	list	^68% of LGBTQ youth^ reported symptoms of generalized anxiety disorder in the past two weeks, including ^more than 3 in 4^ transgender and nonbinary youth	
	0_0_0_1_0	8	list	^48% of LGBTQ youth^ reported engaging in self-harm in the past twelve months, including ^over 60%^ of transgender and nonbinary youth	
	0_0_0_1_0	9	list	^46% of LGBTQ youth^ report they wanted psychological or emotional counseling from a mental health professional but were unable to receive it in the past 12 months	
	0_0_0_1_0	10	list	^10% of LGBTQ youth^ reported undergoing conversion therapy, with ^78% reporting^ it occurred when they were under age 18	
	0_0_0_1_0	11	list	^29% of LGBTQ youth^ have experienced homelessness, been kicked out, or run away	
	0_0_0_1_0	12	list	^1 in 3 LGBTQ youth^ reported that they had been physically threatened or harmed in their lifetime due to their LGBTQ identity	
	0_0_0_1_0	13	list	^61% of transgender and nonbinary youth^ reported being prevented or discouraged from using a bathroom that corresponds with their gender identity	
	0_0_0_1_0	14	list	^86% of LGBTQ youth^ said that recent politics have negatively impacted their well-being	
	0_0_0_1_0	15	list	^Transgender and nonbinary youth^ who reported having pronouns respected by all or most people in their lives attempted suicide at half the rate of those who did not have their pronouns respected	
	0_0_0_1_0	16	highlight	This year’s survey exemplifies our organization’s commitment to using research and data to prevent LGBTQ youth suicide.	
	0_0_0_1_0	17	text	We will continue to leverage new research to help inform our life-saving services for LGBTQ youth, as well as expand the knowledge base for organizations around the globe. Our partner organizations also conduct critical research, and we acknowledge that our life-saving programs and research build on their important work.	
	0_0_0_1_0	18	text	Given the lack of LGBTQ-inclusive data nationwide, we hope this report will provide valuable insights that can be used by researchers, policymakers, and the many organizations working alongside The Trevor Project to support LGBTQ young people everywhere.	
	0_0_0_1_0	19	text	The Trevor Project’s research, advocacy, education, and direct service programs will continue to elevate the voices and experiences of LGBTQ youth. Our hope is that by publicly sharing our resources and our support for them, LGBTQ youth will hear us loud and clear: that they are beautiful the way they are, that their lives are valuable, and that they are never alone. If you are an LGBTQ young person, please know that The Trevor Project is here to support you 24/7.	
	1_0_0_1_0	0		^40% of LGBTQ respondents^ seriously considered attempting suicide in the past twelve months.	
	1_0_0_1_0	1		^More than half^ of transgender and nonbinary youth have seriously considered suicide.	
	1_1_0_1_1	0	By Gender Identity	Cisgender	0.34
	1_1_0_1_1	1	By Gender Identity	Transgender and nonbinary	0.52
	1_1_0_1_1	2	By Age	13-17 year olds	0.48
	1_1_0_1_1	3	By Age	18-24 year olds	0.34
	1_1_0_1_2	0	By Gender Identity	Cisgender	0.11
	1_1_0_1_2	1	By Gender Identity	Transgender and nonbinary	0.21
	1_1_0_1_2	2	By Age	13-17 year olds	0.21
	1_1_0_1_2	3	By Age	18-24 year olds	0.1
	1_1_1_1_1	0		Cisgender	0.33
	1_1_1_1_1	1		Transgender and nonbinary	0.41
	1_1_1_1_2	0		13-17 year olds	0.44
	1_1_1_1_2	1		18-24 year olds	0.29
	1_1_2_1_0	0	highlight	^68% of LGBTQ youth^ reported symptoms of generalized anxiety disorder in the past two weeks, including ^more than 3 in 4 transgender and nonbinary youth.^	
	1_2_2_1_0	1	list	^55% of LGBTQ youth^ reported symptoms of major depressive disorder in the past two weeks, including ^more than^ 2 in 3 transgender and nonbinary youth	
	1_2_2_1_0	2	list	^86% of LGBTQ youth^ said that recent politics have negatively impacted their well-being	
	1_2_2_1_0	3	list	^Nearly 15% of LGBTQ respondents^ attempted suicide in the past twelve months, including ^more than^ 1 in 5 transgender and nonbinary youth	
	1_2_2_1_0	3	list	^48% of LGBTQ youth^ reported engaging in self-harm in the past twelve months, including ^over 60%^ of transgender and nonbinary youth	
	1_2_0_1_0	0	highlight	^46% of LGBTQ youth respondents^ report that they wanted psychological or emotional counseling from a mental health professional but were unable to receive it ^in the past 12 months.^	
	1_2_1_1_0	0		Yes, but I didn't get it	0.46
	1_2_1_1_0	1		Yes, and I got it	0.38
	1_2_1_1_0	2		No	0.16
	1_3_0_1_0	0	highlight	^Over 40% of LGBTQ youth^ reported they were unable to receive care due to concerns with parental permission.	
	1_3_0_1_0	1	highlight	^Ability to afford care^ was the strongest barrier to receiving mental health care.	
	1_3_0_1_0	2	highlight	^Nearly half of transgender and nonbinary youth^ didn’t receive wanted mental health care due to concerns related to the LGBTQ competence of providers.	
	1_3_1_2_1	0		Inability to afford care	0.5
	1_3_1_2_1	1		Concerns about getting parent/caregiver permissions	0.44
	1_3_1_2_1	2		Concerns about finding an LGBTQ competent provider	0.23
	1_3_1_2_1	3		Transportation difficulties	0.21
	1_3_1_2_1	4		Fears of being outed	0.2
	1_3_1_2_1	5		Previous negative experience	0.2
	1_3_1_2_1	6		Lack of providers who were LGBTQ	0.07
	1_3_1_2_2	0		Inability to afford care	0.58
	1_3_1_2_2	1		Concerns about getting parent/caregiver permissions	0.46
	1_3_1_2_2	2		Concerns about finding an LGBTQ competent provider	0.46
	1_3_1_2_2	3		Transportation difficulties	0.31
	1_3_1_2_2	4		Fears of being outed	0.26
	1_3_1_2_2	5		Previous negative experience	0.26
	1_3_1_2_2	6		Lack of providers who were LGBTQ	0.17
	2_1_0_1_0	0		No attempt to convince to change	0.42
	2_1_0_1_0	1		Attempt to convince to change	0.58
	2_1_1_1_0	0	Youth who attempted suicide	No attempt to convince to change	0.08
	2_1_1_1_0	1	Youth who attempted suicide	Attempt to convince to change	0.19
	2_1_2_1_1	0		Parent or caregiver	0.35
	2_1_2_1_1	1		Friend	0.28
	2_1_2_1_1	2		Other relative	0.22
	2_1_2_1_1	3		Religious leader	0.14
	2_1_2_1_1	4		Teacher or school counselor	0.06
	2_1_2_1_1	5		Healthcare provider	0.05
	2_0_0_1_0	0		^6 out of 10 LGBTQ youth^ said that someone attempted to convince them to change their sexual orientation or gender identity.	
	2_1_0_1_0	0		^78% of youth% who underwent conversion therapy reported that it was when they were under the age of 18.	
	2_2_0_1_0	0		^10% of LGBTQ youth^ reported receiving conversion therapy from someone who tried to change their sexual orientation or gender identity to straight or cisgender.	
	2_3_0_1_0	0		No conversion therapy	0.9
	2_3_0_1_0	1		Conversion therapy	0.1
	2_3_1_1_0	0	Youth who attempted suicide	No conversion therapy	0.12
	2_3_1_1_0	1	Youth who attempted suicide	Conversion therapy	0.28
	2_3_2_1_0	0	highlight	^78% of youth^ who underwent conversion therapy reported that it was when they were ^under the age of 18^.	
	2_4_0_1_0	0	highlight	^3% of youth^ reported undergoing conversion therapy by a healthcare professional.	
	2_4_1_1_0	0		Personal pastor or priest	0.06
	2_4_1_1_0	1		Outside religious leader	0.05
	2_4_1_1_0	2		Healthcare professional	0.03
	2_4_2_1_0	0		Not sure	0.04
	2_4_2_1_0	1		Gender identity	0.08
	2_4_2_1_0	2		Both sexual orientation and gender identity	0.27
